lambda_div,lambda_bc,seed,window_offset,epochs_run,train_windows,val_windows,loss,data_loss,div_loss,bc_loss,rmse_all,rmse_velocity,divergence_l2,divergence_l1,boundary_rmse
0.0,0.0,0,0,142,279,27,6.299055842516412e-05,6.299055842516412e-05,1.3800261872155326,0.0,0.007915109462503876,0.00575926826734628,1.1746300118310111,0.5311728119850159,0.028723083436489105
0.0,0.0,0,1,58,223,27,6.879040198068001e-05,6.879040198068001e-05,1.203241229057312,0.0,0.008277208943452154,0.005920713434794119,1.0967106819152832,0.4814962361540113,0.029843724465795925
0.0,0.0,0,2,106,168,27,0.00012537157142235498,0.00012537157142235498,1.4424675021852766,0.0,0.011119052767753601,0.0058605532561029705,1.2009481191635132,0.49902887429509846,0.028959116765430996
0.0,0.0,1,0,53,279,27,0.00010679520138572636,0.00010679520138572636,1.0542361906596593,0.0,0.010308696223156793,0.006018416490405798,1.0266598122460502,0.4724869728088379,0.030059281470520154
0.0,0.0,1,1,97,223,27,7.198209953328063e-05,7.198209953328063e-05,1.169022560119629,0.0,0.008455489629081317,0.006052170148385423,1.0811637129102434,0.4921841961996896,0.027464197682482854
0.0,0.0,1,2,96,168,27,8.318497878333022e-05,8.318497878333022e-05,1.0715994834899902,0.0,0.009055825349475657,0.0057611480754401,1.0351050070353918,0.4668170767171042,0.027422252776367322
0.0,0.0,2,0,82,279,27,7.296228224212038e-05,7.296228224212038e-05,1.2144809109824044,0.0,0.008515828688229834,0.006075136030891112,1.1019949402127946,0.4925572829587119,0.028570928211723055
0.0,0.0,2,1,78,223,27,9.675643585589049e-05,9.675643585589049e-05,1.1507476227624076,0.0,0.009804608300328255,0.006003848277032375,1.072710735457284,0.47992698209626333,0.02918620514018195
0.0,0.0,2,2,74,168,27,0.00015139318877897625,0.00015139318877897625,0.7567760603768485,0.0,0.01221229029553277,0.005713133274444512,0.8698961819921222,0.38802825127329144,0.02691869198211602
0.02,0.01,0,0,200,279,27,0.0009709872455070061,0.00015243218721090152,0.03903937552656446,0.003776755283719727,0.012340214236506395,0.013133529307586806,0.19756050833633967,0.04646989703178406,0.061454671302012036
0.02,0.01,0,1,200,223,27,0.001071035529353789,0.00016005658419869308,0.043606581432478767,0.0038847335215125766,0.012645680457353592,0.01355046299951417,0.20877064977373397,0.053894205284970145,0.062323572912386486
0.02,0.01,0,2,200,168,27,0.0010936439004061477,0.00017634175518261536,0.04388740658760071,0.00395540427416563,0.013273006438144616,0.013974924305719989,0.20945837029388972,0.05422896412866456,0.06288841686078481
0.02,0.01,1,0,200,279,27,0.001169485622085631,0.00019438823177811822,0.04502284952572414,0.0074640387403113505,0.013936825495745455,0.015366294288209506,0.21215301964964187,0.05655238404870033,0.08639313387019294
0.02,0.01,1,1,200,223,27,0.0012482237237106477,0.0001956389647343063,0.048651743680238724,0.007954989426902362,0.013980583686913763,0.015424866096249648,0.22055551835468837,0.05322014433997018,0.08918808400630951
0.02,0.01,1,2,200,168,27,0.001470928279949086,0.00021778936206828803,0.05819062143564224,0.008932650222309999,0.014750071269060885,0.016355345025658607,0.24118998646736145,0.061606542340346744,0.09450894594192505
0.02,0.01,2,0,200,279,27,0.0010740997303011163,0.00016820336376050754,0.04271026487861361,0.005169106514326164,0.012965140065976552,0.013988068593399865,0.2066463679075241,0.057079993188381195,0.07189586545739855
0.02,0.01,2,1,200,223,27,0.0011745420550661428,0.00019094581615978053,0.04563424949135099,0.007091127668640443,0.01381347088941506,0.01513679139316082,0.21361477885927474,0.05663787307483809,0.08420588182551521
0.02,0.01,2,2,200,168,27,0.0014234266709536314,0.00020834058731062605,0.056430667638778687,0.008647277552102293,0.014426337821143014,0.015717797513519014,0.23752483086926596,0.05699023923703602,0.09298564493656158
